source,productid,mobilename,userid,review,rating,reviewdate
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Avdhesh Sahu,...Camera Quality is average.Otherwise ok phone. Camera is decent but,,1 month ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Suraj Kumar,...Camera quality is mind blowing.Best smartphone in the market,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Akash Dey,"...low, it take 2 hr 30 min for full charge.Camera quality is low.",,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Ishita Roy,"...Disappointed with the camera quality,except that let's see how long the phone works well",,5 days ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Jignesh vala,...Camera quality is bad.Average phone.,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Camera quality is not good....go for other,,5 days ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Front camera quality not goodslow charging,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Isak Mangasule,...Camera - 3/5Display - 4/5Speaker - 3/5Performance -,,10 days ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Anup Das,"...Phone fully charged in less than 2 hours.Rear camera 5/5, Front camera 4/5",,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Very nice Vivo T4 Lite mobile phone camera 📸 and video songs volume very good,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Sarat kumar Das,...The camera is pretty good.Battery is too good but it's take long time,,1 day ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Manoj Chaudhary,...Camera quality low but top mobile,,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Dinesh  Kumar,"...very good phone...look wise awasome,cameras good,Phone All features are very good..All over good product..",,27 days ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Umesh ukey,...Camera is averagePerformance is good,,1 month ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Camera quality is pathetic �,,1 month ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",happy Krishna,...Good product but camera quality is low but overall all are okay,,1 month ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Neha Customer,...But the camera is not as good as we expected from this phone.,,1 month ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Harpreet Singh,...Every function lite speaker 🔇 camera not goo,,2 months ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Faishal,"...📱✨ The camera quality is outstanding, capturing every detail perfectly",,2 days ago
