source,product_id,category,product_name,price,mrp,discount,rating,url,scraped_at,matched_id
flipkart,COMHD8BGE3PJJGAP,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,26500.0,29999.0,11.0,0.0,https://www.flipkart.com/neopticon-browsebook-intel-celeron-dual-core-n4020-8-gb-256-gb-ssd-windows-11-home-bbn40825614-laptop/p/itm1f0cba8e31826?pid=COMHD8BGE3PJJGAP&lid=LSTCOMHD8BGE3PJJGAP8SRMUD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHD8BGE3PJJGAP.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0011
flipkart,COMHK77SZSZHTEV7,laptops,HP Victus (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,94990.0,95746.0,0.0,0.0,https://www.flipkart.com/hp-victus-i5-14th-gen-intel-core-5-210-h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15-fa2203tx-gaming-laptop/p/itm65704ff158138?pid=COMHK77SZSZHTEV7&lid=LSTCOMHK77SZSZHTEV7VVWD14&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHK77SZSZHTEV7.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0018
flipkart,COMHFZYZFVD2MCAB,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,24990.0,32999.0,24.0,0.0,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-12-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=6c9e8837-53ce-4a0a-b863-eb07d60eedba.COMHFZYZFVD2MCAB.SEARCH&ppt=sp&ppn=sp&ssid=9fee3qoudc0000001788947184432&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0025
flipkart,COMHM9URJR7BV3HY,laptops,ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (32 GB/1 TB SSD/Windows 11 Home) B9406CAA...,272990.0,449990.0,39.0,0.0,https://www.flipkart.com/asus-expertbook-ultra-copilot-pc-intel-core-x7-358h-32-gb-1-tb-ssd-windows-11-home-b9406caa-th1205ws-thin-light-laptop/p/itm8f6006a76d8bf?pid=COMHM9URJR7BV3HY&lid=LSTCOMHM9URJR7BV3HYEBIZAD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_51&otracker=search&fm=organic&iid=en_ARC9fI5cJYVdI9eKhB3NepNl8LjLpBfMbLfMqNdSxmuGwSCRQXBWqEG5c-OStF9D2Zly4yJ4n6qVeZeYCy_kFs50ArVTxi4Y7vLdGveaXYmyew8FYTq-1MQDtpLybbhP&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0047
flipkart,COMHNNHG5N32TYQF,laptops,Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,115999.0,120990.0,4.0,0.0,https://www.flipkart.com/lenovo-ultra-5-225u-intel-core-16-gb-1-tb-ssd-windows-11-home-21ska0ftig-laptop/p/itmb069abad9f7f6?pid=COMHNNHG5N32TYQF&lid=LSTCOMHNNHG5N32TYQFQ8NUWH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_52&otracker=search&fm=organic&iid=en_ARC9fI5cJYVdI9eKhB3NepNl8LjLpBfMbLfMqNdSxmvKP_1jzcDjCWSd4gOwzF-2GiXcMx3g9EvtimWCOkhp0t4RbA6JxKlPy_h-31CD0dtjALksAvkiN84uautFYzqG&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0048
flipkart,COMHGYAFCZG8YRYS,laptops,ASUS ExpertBook P1 (i5 14th Gen) with 1 Yr ADP Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) ...,68990.0,89990.0,23.0,0.0,https://www.flipkart.com/asus-expertbook-p1-i5-14th-gen-1-yr-adp-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s72222ws-p1503cvayb-s73386ws-laptop/p/itmfe48dae26f674?pid=COMHGYAFCZG8YRYS&lid=LSTCOMHGYAFCZG8YRYSWDI8LO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_53&otracker=search&fm=organic&iid=8a09b4b4-e81e-49c1-8dfd-528ab1219555.COMHGYAFCZG8YRYS.SEARCH&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0049
flipkart,COMHMHYHZPXKCEGJ,laptops,Acer Aspire One Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A114-45 Notebook,49261.0,59999.0,17.0,0.0,https://www.flipkart.com/acer-aspire-one-intel-celeron-dual-core-n4500-12-gb-512-gb-ssd-windows-11-home-a114-45-notebook/p/itmb80971f8b2c27?pid=COMHMHYHZPXKCEGJ&lid=LSTCOMHMHYHZPXKCEGJRGTVTB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_59&otracker=search&fm=organic&iid=8a09b4b4-e81e-49c1-8dfd-528ab1219555.COMHMHYHZPXKCEGJ.SEARCH&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0055
flipkart,COMHPKRBZT8NHPHY,laptops,Lenovo AMD Ryzen 3 Quad Core 30 - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 15AMN8 Thin and Lig...,52990.0,90980.0,41.0,0.0,https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-30-8-gb-512-gb-ssd-windows-11-home-ideapad-slim-15amn8-thin-light-laptop/p/itm136b8d3fe3ffc?pid=COMHPKRBZT8NHPHY&lid=LSTCOMHPKRBZT8NHPHYTAKZAL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_60&otracker=search&fm=organic&iid=8a09b4b4-e81e-49c1-8dfd-528ab1219555.COMHPKRBZT8NHPHY.SEARCH&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0056
flipkart,COMH2TPSHCGYHHH8,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,39900.0,49999.0,20.0,0.0,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-12-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH2TPSHCGYHHH8&lid=LSTCOMH2TPSHCGYHHH8BNJSIH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_61&otracker=search&fm=organic&iid=8a09b4b4-e81e-49c1-8dfd-528ab1219555.COMH2TPSHCGYHHH8.SEARCH&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0057
flipkart,COMHF8KZGUMD7GHG,laptops,Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,104990.0,114999.0,8.0,0.0,https://www.flipkart.com/acer-nitro-v-15-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-5050-anv15-52-gaming-laptop/p/itm9e214d20dd479?pid=COMHF8KZGUMD7GHG&lid=LSTCOMHF8KZGUMD7GHGBONZPK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_64&otracker=search&fm=organic&iid=8a09b4b4-e81e-49c1-8dfd-528ab1219555.COMHF8KZGUMD7GHG.SEARCH&ppt=sp&ppn=sp&ssid=1r10yejg4w0000001788947193474&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09 09:46:13.810502,MATCH_0060
